v2paid,country_text_id,v2paenname,v2paorname,v2pashname,aliases,year,v2pariglef,v2pariglef_ord,v2xpa_antiplural,v2xpa_popul
4182,ARG,Union of the Democratic Centre,,UCD,FPL + UCeDé | Frente por la Lealtad y Unión del Centro Democrático | Front for Loyalty and Union of the Democratic Centre | UCD | UCD/UCeDé | UCeDe | UdCD | Union of the Democratic Centre | Unión del Centro Democrático,1991,2.365,5.0,0.22,0.045
4183,ARG,Intransigent Party,,PI,Intransigent Party | Intransigente | PI | Partido Intransigente,1987,-1.494,2.0,0.109,0.605
5087,ARG,Intransigent Radical Civic Union,,UCRI,Intransigent Radical Civic Union | NA | Radical Intransigent Civic Union | UCR Intransigente | UCRI | Unión Cívica Radical Intransigente,1973,-0.17,3.0,0.366,0.479
5553,ARG,Front for a Country in Solidarity,,FREPASO,Alianza Frente Pais Solidario | FREPASO | Frente País Solidario | Frente para un País Solidario | Frente por un País Solidario | Frepaso | Front for a Country in Solidarity | NA | UCR/Frepaso,2001,-0.98,2.0,0.037,0.534
6112,ARG,Action for the Republic,,AR,AR | Acción por la República | Action for the Republic,1999,2.243,5.0,0.096,0.136
6159,ARG,Civic Coalition ARI,,CC,CC | CC/ARI | Civic Coalition | Civic Coalition ARI | Coalición Cívica | Coalición Cívica ARI | Partido Coalición Cívica,2019,0.452,3.0,0.154,0.403
6160,ARG,Renewal Front,Alternative translation: Front for Reform,RF,FR | Frente Renovador | RF | Renewal Front,2019,0.194,3.0,0.107,0.516
6554,ARG,"Progressive, Civic and Social Front",,FPCyS,"FPCyS | Frente Progresista Cívico y Social | Frente Progresista, Cívico y Social | Progressive, Civic and Social Front",2013,-0.692,2.0,0.024,0.461
6648,ARG,Federal Peronism / Dissident Peronism,,PF-PJ,Federal Peronism | Federal Peronism / Dissident Peronism | NA | PF-PJ | Partido Peronismo Federal | Peronismo Federal | Peronismo Federal / Peronismo disidente,2011,0.447,3.0,0.115,0.375
7664,ARG,Citizen's Unity,,CU,CU | Citizen's Unity | UC | Unidad Ciudadana,2017,-1.662,1.0,0.268,0.67
