v2paid,country_text_id,v2paenname,v2paorname,v2pashname,aliases,year,v2pariglef,v2pariglef_ord,v2xpa_antiplural,v2xpa_popul
908,EST,"National Coalition Party """"Pro Patria""""",,RKI,"Isamaa | National Coalition Party """"Pro Patria"""" | National Coalition Party ""Pro Patria"" | National Coalition Party Pro Patria | RKI | Rahvuslik Koonderakond ""Isamaa""",1995,1.882,5.0,0.026,0.104
1040,EST,Estonian Greens,,EER,EER | EG | ER | ERo | ERoh | Eesti Rohelised | Eestimaa Rohelised | Er | Erakond Eestimaa Rohelise | Erakond Eestimaa Rohelised | Erakonna Eestimaa Rohelised | Estonian Green Party | Estonian Greens | Green | ROH | Rohelised,2007,0.341,3.0,0.025,0.281
1150,EST,Social Democratic Party -- Moderates,,SDE-M,ESDP | Eesti Sotsiaaldemokraatlik Partei | Estonian Social Democratic | Estonian Social Democratic Party | Moderates | Mõõd | Mõõdukad | People's Party Moderates | Rahvaerakond Mõõdukad | SDE | SDE M | SDE — M | SDE-M | SDE-MOODUKAT | SDE/M | SDEM | Social Democratic Party | Social Democratic Party - Moderates | Social Democratic Party -- Moderates | Social Democratic Party Moderates | Social Democratic Party — Moderates | Social-Democratic Party | Sotsiaaldemokraatli k Erakond - Moodukad | Sotsiaaldemokraatlik Erakond | Sotsiaaldemokraatlik Erakond (SDE) | Sotsiaaldemokraatlik Erakond - Moodukad | Sotsiaaldemokraatlik Erakond Mõõdukad | Sotsiaaldemokraatlik Erakond – Mõõdukad | Sotsiaaldemokraatlik Erakond — Mõõdukad,2019,-1.296,2.0,0.026,0.099
1299,EST,Estonian National Independence Party,,ERSP,ENIP | ERSP | Eesti Iseseisvuspartei | Eesti Rahvusliku Soltumatuse Partei | Eesti Rahvusliku Sõltumatuse Partei | Estonian National Independence Party | Moderates and Estonian National Independence Party,1995,1.878,5.0,0.049,0.127
1319,EST,Estonian Citizens,,EKo,Better Estonia/Estonian Citizen | EK | EKL | EKo | EKod | Eesti Kodanik | Electoral Union ‘Estonian Citizen' | Estonian Citienz | Estonian Citizen | Estonian Citizens | PE-EK | Parem Eestija Eesti Kodanik | Valimisliit ‘Eesti Kodanik',1992,1.856,5.0,0.303,0.408
1361,EST,Independent Royalists,,SK,ERP | Eesti Rojalistlik Partei | Electoral Union ‘Independent Royalists' | Estonian Royalist Party | Independent Royalists | SK | Sõlt | Sõltumatud Kuningriiklased | Valimisliit ‘Sõltumatud Kuningriiklased',1992,0.243,3.0,0.26,0.375
1556,EST,Estonian Coalition Party,,EKK,CP | Coalition | Coalition Party | EK | EKD | EKK | EKo | Eesti Koonderakond | Eestil Koonderakond | Electoral Union ‘Secure Home' | Estonian Coalition Party | KE | Valimisliit ‘Kindel Kodu',1999,0.648,4.0,0.061,0.13
1975,EST,Russian Party in Estonia,,VEE,Russian Party in Estonia | Russian Party of Estonia | VEE | Vene Erakond Eestis,1995,-1.102,2.0,0.099,0.466
3271,EST,Free Party,,EV,EFP | EV | EVA | EVE | Eesti Vabaerakond | Estonia Free Party | Estonian Free Party | Free Party,2015,1.31,4.0,0.028,0.431
5144,EST,Estonian People's Party,,ER,Christian Peoples Party | ER | Eesti Rahvaerakond | Estonian People's Party | Peoples Party | People’s Party,2019,1.72,5.0,0.56,0.693
7238,EST,Communist Party of Estonia,,EKP,CPSU | CPSU/KPSS | Communist Party of Estonia | Communist Party of Estonian Soviet Socialist Republic | Communist Party of the Soviet Union | EKP | Eestimaa Kommunistlik Partei | Коммунистическая партия Советского Союза,1990,-3.032,1.0,0.646,0.13
7245,EST,Joint Council of Work Collectives,,JCWC,JCWC | Joint Council of Work Collectives,1990,-3.219,1.0,0.756,0.387
4322,ETH,Ethiopian People's Revolutionary Democratic Front,Amharic: የኢትዮጵያ ሕዝቦች አብዮታዊ ዲሞክራሲያዊ ግንባር,EPRDF,EPRDF | EPRDF-Affiliated Parties | EPRFD | Ethiopian People's Revolutionary Democratic Front | Ethiopian People´s Revolutionary Democratic Front | Ethiopian People’s Revolutionary Democratic Front | Ethopian People's Revolutionary Democratic Front | NA | የኢትዮጵያ ሕዝቦች አብዮታዊ ዲሞክራሲያዊ ግንባር,2015,-1.356,2.0,0.828,0.783
4323,ETH,Coalition for Unity and Democracy,Ge'ez : ቅንጅት ለአንድነት እና ዴሞክራሲ,CUD | CDU,CUD | CUD CDU | Coalition for Unity and Democracy | NA | ቅንጅት ለአንድነት እና ዴሞክራሲ,2005,0.272,3.0,0.919,0.421
4324,ETH,United Ethiopian Democratic Forces,Amharic: የኢትዮጵያ ዴሞክራሲዊ ኃይሎቸ ሕብረት,UEDF,All-Amhara People´s Organization | Ethiopian Democratic Unity Party | NA | Oromo National Congress | Southern Ethiopia People´s Democratic Coalition | UEDF | United Ethiopian Democratic Forces | United Ethiopian Democratic Froces | የኢትዮጵያ ዴሞክራሲዊ ኃይሎቸ ሕብረት,2005,-0.021,3.0,0.512,0.353
5793,ETH,Workers Party of Ethiopia,,WPE,EWP | WPE | Workers Party of Ethiopia | Workers' Party of Ethiopia | Worker’s Party of Ethiopia | Ye Ityopia Serategnoch Parti | Ye'itiyopiya Sheratenyochi Pariti | የኢትዮጵያ ሠራተኞች ፓርቲ,1987,-2.185,1.0,0.937,0.775
249,FIN,Liberal People's Party,,L,"FPP | Finnish People's Party (FPP)/Liberal League | KE SLK | Kansallinen Edistyspuolue [Suomen] Liberaalinen Kansanpuolue | LIB | LKP | LPP | Liberaalinen Kansanpuolue | Liberaalinen Kansanpuolue/Liberaalit | Liberaalinen kansanpuolue | Liberal People's | Liberal People's Party | Liberal People's Party) Liberaalit Liberals | Liberal Peoples Party | Liberal People’s Party | Liberals | Liberals, (The liberal party of Finland) | National Progressive Party [Finnish] Liberal People's Party | People's Party | no longer a registered party",1972,0.856,4.0,0.015,0.236
479,FIN,Green League,Swedish: Gröna Förbundet,VIHR,GR | GREEN | GREENS | Green Alliance | Green League | Green Party | Green Union | Greens | NA | The Green League | VIHR | VL | Vihr | Vihrea Liitto | Vihreä Liitto | Vihreä Liitto (Vihr) | Vihreä Liitto // Vihreä Liitto | Vihreä Liitto – Gröna Förbundet | Vihreä liitto | Vihreä liitto / Gröna förbundet | Vihreät | Vihre‰ Liitto,2019,-0.765,2.0,0.022,0.262
495,FIN,National Coalition Party,Swedish: Samlingspartiet,KOK,CONS | Finhish Conservative Party | KK | KOK | KON | Kansallinen Kokoomus | Kansallinen Kokoomus (Kok) | Kansallinen Kokoomus r.p. | Kansallinen Kokoomus – Samlingspartiet | Kansallinen kokoomus / Samlingspartiet | Kansallinen kokoomuspuolue | Kok | NA | NC | National Coalition | National Coalition Party | The National Coalition Party,2019,1.981,5.0,0.031,0.068
703,FIN,Christian Democrats / League,Swedish: Kristdemokraterna,KD,CHR | CL | Christian Democrats | Christian Democrats / League | Christian Democrats in Finland | Christian League | Christian League of Finland) Kristillisdemokraatit Christian Democrats). | Christian Union | FCL | Finish Christian League; Christian Democrats | Finnish Christian Democrats | Finnish Christian League/Christian Democrats | KD | Kristillinen Liitto | Kristillisdemokraatit | Kristillisdemokraatit / Kristdemokraterna | Kristillisdemokraatit – Kristdemokraterna | NA | SKL | SKL/KD | Soumen Kristillinen Liitto | Suomen Kirstillinen Liitto | Suomen Kristillinen Liitto | Suomen Kristillinen Liitto/Kristillisdemokraatit | Suomen Kristillinen Liitto; Kristillisdemokraatit | Suomen Kristillisdemokraatit | Suomen Kristillisdemokraatit (KD) | Suomen kristillinen liitto,2003,0.569,4.0,0.03,0.227
901,FIN,Agrarian Union / Centre Party,Swedish: Agrarförbundet / Centerpartiet,KESK,AGR | Agrarian | Agrarian League | Agrarian Party | Agrarian Union | Agrarian Union / Centre Party | CENT | CP | Center Party | Center Party of Finland | Center Party of Finland) Keskustapuolue Center Party | Center-Party | Centre Party | Centre Party of Finland | Finlands Centern | Finnish Center | Finnish Center Party | Finnish Centre | KESK | Kesk | Keskusta | Keskusta / Centern | Keskustapuolue | ML | Maalaisliitto | Maalaisliitto / Keskusta | NA | SK | Soumen Keskusta | Suomen Keskusta | Suomen Keskusta (Kesk) | The Centre Party | ZE,2019,0.132,3.0,0.024,0.244
1044,FIN,Left Alliance,,VAS,Demokraattinen Liitto Vasemmistoliitto | LEFT | Left Alliance | Left Wing Alliance | Left Wing Alliance [LEFT] | Left-Wing Alliance | Leftist Alliance | NA | The Left Alliance | VAS | Vas | Vasemmistoliitto | Vasemmistoliitto (Vas) | left-Wing Alliance | vas | vas.,2019,-2.748,1.0,0.02,0.521
1096,FIN,Finish People's Democratic Union,Swedish: Demokratiska Förbundet för Finlands Folk,SKDL,(Finnish People's Democratic Union) | DL VAS | Democratic League for People of Finland | Democratic League of the People of Finland | Democratic Union (Communists a | Democratic Union Left Alliance | Demokratiska förbundet för Finlands folk | FDPL | FPDU | Finish People's Democratic Union | Finnish People's Democratic League | Finnish People's Democratic Union | Finnish Peoples Democratic Union | Finnish People’s Democratic Union | Left Alliance | PDEM | People's Democratic Movement | People's Democratic Union | SKDL | Suomen Kansan Demokraattinen Liitto | Suomen kansan demokraattinen liitto | VAS | Vasemmistoliitto / Vänsterförbundet,1987,-2.859,1.0,0.027,0.571
1229,FIN,Swedish People's Party,Swedish: Svenska Folkepartiet i Finland,RKP,NA | RKP | RKP - SFP | RKP-SFP | RKP/SFP | Ruotsalainen Kansanpuolue | Ruotsalainen Kansanpuolue (SFP/RKP) | Ruotsalainen Kansanpuolue / Svenska Folkepartiet i Finland | Ruotsalainen Kansanpuolue – Svenska Folkepartiet i Finland | Ruotsalainen Kansanpuolue-Svenska Folkpartiet i Finland | Ruotsalainen Kansanpuolue/Svenska Folkpartiet | Ruotsalainen kansanpuolue / Svenska folkpartiet | Ruotsalainen kansanpuolue-Svenska Folkspartiet | SFP | SFP-RKP | SPP | SW | SWPP | Svenska Folkepartiet i Finland | Svenska Folkpartiet | Svenska Folkpartiet/ Ruotsalainen Kansanpuolue | Svenska Folpartiet | Svenska folkpartiet | Svenska folkpartiet / Ruotsalainen kansanpuolue | Svenska folkpartiet i Finland | Svenska folkpartiet i Finland / Suomen ruotsalainen kansanpuolue | Swedish People | Swedish People's | Swedish People's Party | Swedish People's Party in Finland | Swedish People's Party of Finland | Swedish Peoples Party | Swedish Peoples Party in Finland | Swedish People’s Party | The Swedish People's Party (SPP),1999,1.709,5.0,0.012,0.025
1303,FIN,Social Democratic Party of Finland,Swedish: Finlands Socialdemokratiska Parti,SSDP,Finnish Social Democratic Party | Finnish Social Democrats | NA | SDEM | SDP | SOCD | SSDP | Social Democrat | Social Democratic Party | Social Democratic Party of Finland | Social Democrats | Sosiaalidemokraattinen Puolue | Sosialidemokraattinen Puolue | Sosialidemokraattinen puolue / Socialdemokratiska parti | Suomen Sosiaalidemokraattinen Puolue | Suomen Sosialidemkraattinen Poulue | Suomen Sosialidemokraattine n Puolue | Suomen Sosialidemokraattinen | Suomen Sosialidemokraattinen Puolue | Suomen Sosialidemokraattinen Puolue (SDP) | Suomen Sosialidemokraattinen Puolue – Finlands Socialdemokratiska Parti | Suomen sosialidemokraattinen puolue | The Finnish Social Democratic Party,2019,-1.335,2.0,0.037,0.396
1689,FIN,Finnish Party / True Finns,,SP / P,FRP | Finnish Party / True Finns | Finnish Party True Finns | Finnish Rural Party | Finns Party | Finns Party / True Finns | Finns/True Finns | NA | PS | PS/S | Persussuomalaiset | Perussuomalaiset | Perussuomalaiset (Perus) | Perussuomalaiset / Sannfinländarna | Ps | SMP | SP / P | SP P | SP/P | SP/PS | Sannfinländarna | Suomen Maaseudun Puolue | Suomen Maaseudun Puolue Perussuomalaiset | Suomen Puolue / Perussuomalaiset | Suomen Puolue Perussuomalaiset | Suomen maaseudun puolue | The Finns Party | True Finns | True Finns / Finns Party,2019,0.688,4.0,0.353,0.882
3202,FIN,Finnish Rural Party,,SMP,FRP | Finnish Rural Party | Finnish Smallholders' Party | Maaseudun Puole | Maaseudun Puolue | Pientalonpojat | RURAL | Rural | Rural Party | SMP | Small Holders' Party | Soumen Maaseudun Puolue | Suomen Maaseudun Puolue | Suomen maaseudun puolue,1987,-0.213,3.0,0.067,0.937
4886,FJI,Fijian Association,,FAP,FA | FAP | Fijian Alliance Party | Fijian Association,1999,0.295,3.0,0.318,0.34
4887,FJI,Fiji Labour Party,,FLP,FLP | Fiji Labor Party | Fiji Labour Party | LU | Labor | Labour Unity,2006,-2.232,1.0,0.171,0.861
4888,FJI,National Federation Party,,NFP,NFP | Nat. Fed. P | Nat. Federation P. | National Federation | National Federation Party,2018,-1.503,2.0,0.021,0.742
4889,FJI,Fijian Political Party,,SVT,FPP | FPP-SVT | Fijian Political Party | SVT | Soqosoqo ni Vakavulewa ni Taukei,1999,0.957,4.0,0.69,0.075
4890,FJI,United Fiji Party,,SDL,SDL | Soqosoqo Duavata ni Lewenivanua | United Fiji | United Fiji Party,2006,1.524,4.0,0.868,0.156
4891,FJI,Alliance Party,,AP,AP | Alliance | Alliance Party,1987,1.466,4.0,0.681,0.048
5794,FJI,Social Democratic Liberal Party,,SDLP,SDLP | SODELPA | Social Democratic Liberal Party,2018,0.472,3.0,0.716,0.25
5795,FJI,Fiji First Party,,FF,FF | Fiji First Party | FijiFirst,2018,0.373,3.0,0.797,0.636
5835,FJI,General Voters Party,,GVP,GVP | General Voters Party | General Voter’s Party,1994,1.424,4.0,0.164,0.345
5893,FJI,Conservative Alliance Party,,MV,CA | Conservative Alliance | Conservative Alliance Party | Conservative Alliance/Matanitu Vanua | MV | Matanitu Vanua,2001,-0.314,3.0,0.974,0.234
6213,FJI,Party of National Unity,,PANU,PANU | Party of National Unity,1999,-0.938,2.0,0.306,0.429
6214,FJI,Fijian Nationalist United Front Party,,FNUF,FNUF | Fijian Nationalist Party | Fijian Nationalist United Front | Fijian Nationalist United Front Party,1992,-0.205,3.0,0.978,0.211
7467,FJI,National Federation Party - Flower,,NFP-F,NFF | NFP-F | Nat. Federation F. | National Federation Party - Flower,1977,-1.706,1.0,0.134,0.637
7468,FJI,National Federation Party - Dove,,NFP-D,NFP-D | National Federation Party - Dove,1977,-1.711,1.0,0.243,0.635
7469,FJI,All Nationals Congress,,ANC,ANC | All Nationals Congress,1994,-0.291,3.0,0.446,0.292
7470,FJI,Christian Democratic Alliance,,VLV,Christian Democratic Alliance | VLV | Veitokani ni Lewenivanua Vakarisito,1999,1.0,4.0,0.59,0.347
93538,FJI,alliance: NFP-FLP,,NFP-FLP,,1987,-2.253,1.0,0.044,0.816
167,FRA,Reformers Movement,,MR,MR | Mouvement Réformateur | Mouvement reformateur | Mouvement réformateur | REF | Reformers Movement | Reformers' Movement | Reformers’ Movement | Reforming Movement | Reformist Movement,1973,0.55,4.0,0.026,0.169
213,FRA,Union for French Democracy,,UDF,Democratic Mouvement | Democratic Movement | MoDem | Mouvement Démocrate | Mouvement démocrate | Radicals | UDF | UDF (Union pour la Démocratie Française) | UDF / UDF-FD / UDF-PPDF / | UDF MD | UDF Radicaux | UDF-MOUVEMENT DEMOCRATE | UDFRAD | Union for French Democracy | Union for French Democracy Democratic Movement | Union pour la Democratie Francaise | Union pour la Démocratie Française | Union pour la Démocratie française | Union pour la democratie francaise | Union pour la democratie francaise - UDF | Union pour la démocratie française | Union pour la démocratie française Mouvement démocrate,2017,0.903,4.0,0.037,0.215
288,FRA,Centre Democracy and Progress,,CDP,"CDP | Centre Democracy and Progress | Centre Démocratie et Progrés | Centre democratie et progres - CDP | Centre démocratie et progrès | Centre démocratie et progrés | Centre for Democracy and Progress | Centre, Democracy and Progress | Democracy and Progress",1973,0.898,4.0,0.021,0.034
433,FRA,National Front,,FN,Communists | FN | FN (Front National) | FN / RN | FN/RN | Front National | Front National (FN) | Front National / Rassemblement National | Front National / Rassemblement national | Front national | Front national FN | NF | Nat. Front | National Front | National Front / National Rally | National Front / Rally | National Front-French First | National Rally | National front | RN | RPF | Rassemblement National | Rassemblement national | Rassemblement pour la France,2017,0.382,3.0,0.486,0.77
509,FRA,Rally for the Republic,,RPR,"DIFE / RPR | Gaullist Parties Union pour un Mouvement Populaire, UMP | L'AE / RPF / MPF | PCF / GU / PCR | Parti communiste française / Gauche unitaire / Parti communiste réunionnais | RPR | Rally For The Republic | Rally for the Republic | Rally for the Republic-Union for Democracy | Rassemblement Pour la République | Rassemblement pour la Republique | Rassemblement pour la République | Rassemblement pour la République / Défence des intérêts de la France en Europe | Rassemblement pour la république | UDR | Union for a Popular Movement | Union of Democrats for the Republic | Union of the Rally and the Center",1997,1.8,5.0,0.075,0.213
1108,FRA,Greens,,V,EELV | Ecologist | Ecologiste | Ecologistes | Europe Ecologie - Les Verts (EELV) | Europe Ecology - The Greens | Europe Écologie Les Verts | EÉLV | GREENS | Green Party | Greens | LES VERTS | LV | Les Verts | The Greens | VERTS | Verts,2012,-2.059,1.0,0.025,0.332
1246,FRA,Independent Republicans,,RI,FNRI | Fédération Nationale des Républicains Indépendants | Fédération nationale des Republicains independants – FNRI | IR | IR DL | Independants républicains Démocratie libérale | Independent Republicans | Independent Republicans Liberal Democracy | PR | Parti Republicain | RI | Republican | Republican Party | Républicains Indépendants | Républicains indépendants | Républicains indépendents | UDF Parti Republican | UDFPR,1973,1.27,4.0,0.103,0.167
1251,FRA,French Communist Party,,PCF,Communist | Communist Party | French Communist Party | French Communist Party / Left Front | PC | PC (Parti communiste) | PCF | PCF/FdG | Parti Communiste | Parti Communiste Francais | Parti Communiste Francais – PCF | Parti Communiste Français | Parti Communiste francais | Parti communiste | Parti communiste francaise | Parti communiste français | Parti communiste française,2012,-2.968,1.0,0.203,0.694
1478,FRA,Socialist Party,,PS,Electoral alliance of Parti Socialiste and Mouvement des radicaux de gauche | French section of the Workers' International | HollandePS | PS | PS (Parti Socialiste) | PS + MRG | Parti Socialiste | Parti Socialiste Français | Parti socialiste | Parti socialiste (PS) | SFIO | SOC | SOCIALISTE | Section francais de l' Internationale ouvrière | Section française de l'Internationale ouvrière | Socialist | Socialist Party | Socialist Party-Socialist Radical Party and Those Related | Socialists,2017,-1.737,1.0,0.029,0.404
1595,FRA,Union for a Popular Movement,,UMP,Les Républicains | RPR | Rally for the Republic; Union for Popular Movement | Rassemblement pour la République; Union pour un Mouvement Populaire | SarkozyUMP | The Republicans | UEM | UMP | UMP (Union de la Majorité Présidentielle) | UMP LR | Union for Popular Mouvement | Union for Presidential Majority | Union for a Popular Movement | Union for a Popular Movement The Republicans | Union for the Presidential Majority | Union pour la Majorité Présidentielle / Union pour un Mouvement Populaire | Union pour un Mouvement Populaire | Union pour un mouvement populaire | Union pour un mouvement populaire (UMP) | Union pour un mouvement populaire Les Républicains,2017,1.546,4.0,0.049,0.143
1776,FRA,other right,,droite,Center Right Parties | DVD | Divers droite | La Droite | MR | Misc. Right | OTHER RIGHT | Other-Right | The Right | d-d | d-droite | divers droite | droite | other right,1997,1.624,4.0,0.06,0.16
1783,FRA,Radical Party of the Left,,PRG,EN.RAD / MRG / PRG | Energie Radicale / Mouvement Radicaux de Gauche / Parti radical de gauche | Left Radical Party | Left Radicals | MGRS | MRG | Mouvement de la Gauche Radicale Socialiste | Mouvement des Radicaux de Gauche | Mouvement des radicaux de gauche - MRG | Movement des Radicaux de Gauche | Movement of the Socialist Left Radical | PRG | PRG (Parti Radical de Gauche) | PRG (Parti radical de gauche) | Part Radical de Gauche | Parti Radical de Gauche | Parti des Radicaux de gauche | Parti radical de Gauche | Parti radical de gauche | Party of the Radical Left | Radical Left Movement | Radical Left Party | Radical Party of the Left | RdG | left Radicals,1973,0.338,3.0,0.029,0.211
5857,FRA,The Republic Onwards!,,LaREM,EM | Ensemble | Forward | Forward Republic | LA REPUBLIQUE EN MARCHE | LAREM | LREM | LREM (La République en Marche) | La Republique En Marche! | La Republique en Marche | La République En Marche | La République En Marche! | La République En Marche! / Renaissance | La République En Marche! Renaissance | La République En Marche!/Ensemble/Renaissance | La République en Marche | La République en marche ! | LaREM | LaREM/RE | RE (LREM) | REM | REM R | Renaissance | Renaissance (La République En Marche!) | Renaissance (The Republic Onwards!) | The Republic Onwards! | The Republic Onwards! Renaissance | The Republic on the Move,2017,0.734,4.0,0.029,0.346
5858,FRA,Unbowed France,,FI,FI | FI (La France Insoumise) | FI/LFI | France Unbowed | Indomitable France | LA FRANCE INSOUMISE | LFI | La France Insoumise | La France insoumise | Le France Insoumise | MelenchonLFI | Unbowed France | Unsubmissive France,2017,-3.463,0.0,0.278,0.811
8041,FRA,Union of Democrats for the Republic,,UDR,UDR | Union des Démocrates pour la République | Union of Democrats for the Republic,1973,1.67,4.0,0.079,0.216
5200,GAB,Gabonese Democratic Bloc / Gabonese Democratic Party,,BDG / PDG,BDG | BDG / PDG | BDG PDG | BDG-UDSG | BDG/PDG | Bloc Démocratique Gabonais | Bloc Démocratique Gabonais / Parti Démocratique Gabonais | Democratic Bloc | Democratic Party | Democratic Party of Gabon | Gabonese Democratic Bloc | Gabonese Democratic Bloc / Gabonese Democratic Part | Gabonese Democratic Bloc / Gabonese Democratic Party | Gabonese Democratic Party | PDG | PDG (Parti Démocratique Gabonais) | Parti Démocratique Gabonais,2018,-0.129,3.0,0.959,0.467
5290,GAB,Gabonese Progress Party,,PGP,Gabonese Progress Party | PGP | Parti gabonais du progrès | Progress,1996,-0.196,3.0,0.805,0.532
5294,GAB,National Regeneration Movement,,MORENA,MORENA | MRN | Morena | Mouvement de redressement national | Mouvement du Recouvrement National | Movement for National Recovery | Movement for National Regenera | Movement for National Renewal | National Recovery Movement | National Recovery Movement-Woodcutters | National Regeneration Movement,1990,-0.735,2.0,0.805,0.375
5591,GAB,Union of the Gabonese People,,UPG,UPG | UPG (Union du Peuple Gabonais) | Union du Peuple Gabonais | Union of Gabonese People | Union of the Gabonese People,2006,0.09,3.0,0.821,0.399
5592,GAB,National Woodcutters (Lumberjacks) Rally – Rally for Gabon,,RNB–RPG,Lumnberjacks Rally | National Rally of Woodcutters | National Rally of Woodcutters-Rally for Gabon | National Woodcutters (Lumberjacks) Rally  Rally for Gabon | National Woodcutters (Lumberjacks) Rally – Rally for Gabon | National Woodcutters' Rally – Rally for Gabon | RNB | RNB-RPG | RNBRPG | RNB–RPG | RPG | Rally for Gabon | Rassemblement National des Bûcherons  Rassemblement pour le Gabon,2006,0.151,3.0,0.822,0.386
7554,GAB,The Democrats,,LD,LD | Les Démocrates | The Democrats,2018,-1.027,2.0,0.859,0.642
540,GBR,Liberal Party,,Lib,LD | LDP | LP | Lib | Liberal | Liberal Democrats | Liberal Party | Liberal Party (1989 -) | Liberal Party (Original) | Liberal Party Liberal Democrats | Liberals,2015,0.102,3.0,0.071,0.324
601,GBR,United Kingdom Independence Party,,UKIP,UK Independence Party | UKIP | UKUP | UNION | Unionist | United Kingdom Independence Pa | United Kingdom Independence Party | United Kingdom Independence Party (UKIP),2017,2.539,5.0,0.583,0.875
986,GBR,Scottish National Party,Scottish Gaelic: Pàrtaidh Nàiseanta na h-Alba,SNP,NA | SNP | SNP-PC | Scottish / Welsh National Party | Scottish National Party | Scottish National Party (SNP) | Scottish National Party – Pàrtaidh Nàiseanta na h-Alba | The Scottish National Party,2019,-1.985,1.0,0.108,0.555
1388,GBR,Liberal Democrats,,LD,LD | LDEM | LDP | LIB | LIB DEMS | Lib Dems | Lib/Dems | LibDem | LibDems | Liberal Democrat | Liberal Democrat Party | Liberal Democratic Party | Liberal Democrats | Liberal Democrats (LD) | Liberal Party/Liberal Democrats | NA | SLD | Social and Liberal Democrats | The Alliance,2019,-0.165,3.0,0.08,0.327
1516,GBR,Labour,,Lab,British Labour Party | LAB | LABOUR | Lab | Labor | Labour | Labour Party | Labour Party (Lab) | Labour Party // Labour | Liberal/Labour Alliance | NA | The Labour Party,2019,-2.474,1.0,0.116,0.514
1567,GBR,Conservatives,,Con,British Conservative Party | CNL | CON | CONS | CONSERVATIVES | Con | Con-18 | Conservative | Conservative (Con) | Conservative Party | Conservative Party // Conservative | Conservative and Unionist Party | Conservatives | Conservatives [no coupon] | Conservatives and National Liberals | NA | TORY | The Conservative Party | Tory,2019,2.026,5.0,0.348,0.364
2146,GEO,Burjanadze - Democrats Bloc,,BD,BD | BDA | Bloki ‘Burjanadze - Demokratebi’ | Burdzhanadze-Demokratiuli Aliansi | Burjanadze - Democrats Bloc | Burjanadze-Democratic Alliance,2003,0.398,3.0,0.381,0.542
2148,GEO,Citizens’ Union of Georgia,,SMK,Citizen's Union | Citizens’ Union of Georgia | NA | SMK | Sak'art'velos Mokalaketa Kavshiri | Sakartvelos Mokalaketa Kavshiri | Saqartvelos Moqalaqeta Kavashiri | Union of Citizens of Georgia | საქართველოს მოქალაქეთა კავშირი,1999,-0.198,3.0,0.824,0.13
2149,GEO,Democratic Party,,DP,DP | Democratic Party | Demokratiuli Partia,1992,-0.019,3.0,0.48,0.528
2150,GEO,Election Bloc ’For a New Georgia’,,AS,AS | Election Bloc ‘For a New Georgia’ | Election Bloc ’For a New Georgia’ | Saarchevno Bloki ‘Axali Sak'art'velostvis’,2003,-0.316,3.0,0.629,0.336
2151,GEO,Bloc 11th October,,B-11-O,B-11-O | Bloc 11th October | Election Bloc ‘Oktober 11’ | O11 | Oct. 11 | October 11 | Saarchevno Bloki ‘Tertmeti Oktomberi’,1992,-0.015,3.0,0.514,0.348
2152,GEO,Bloc Peace,,B-P,B-P | Bloc Peace | Election Bloc ‘Peace’ | Mshvidoba | PB | Peace | Peace Bloc Coalition | Saarchevno Blok ‘Mshvidoba’,1992,-0.108,3.0,0.563,0.412
2153,GEO,Georgian Labour Party,,SLP,Georgian Labor Party | Georgian Labour Party | Georgian Labour Party (GLP) | Labour | Labour Party | Labour Party of Georgia | NA | SLP | Sak'art'velos Leiboristuli Partia | Sakartvelos Leiboristuli Partia | საქართველოს ლეიბორისტული პარტია,2008,-1.772,1.0,0.329,0.93
2159,GEO,Industry will save Georgia,,MGS,"IWSG | Industry Will Save Georgia | Industry will save Georgia | MGS | Mretsvelopba Gadaarchens Sak'art'velos | Mretsvelopba Gadaarchens Sakartvelos | Topadze | Topadze - Industrialists, Our Fatherland | მრეწველობა გადაარჩენს საქართველოს",1999,1.858,5.0,0.611,0.23
2161,GEO,National Democratic Party of Georgia,Georgian: ეროვნულ-დემოკრატიული პარტია,NDPG,EDP | Erovnul Demokratiuli Partia | Erovnul-Demokratuli Partia | NA | NDP | NDPG | National Democratic | National Democratic Party | National Democratic Party of Georgia | Sakartvelos Erovnul Demokratiuli Partia | ეროვნულ-დემოკრატიული პარტია,1995,0.594,4.0,0.419,0.477
2162,GEO,New Rights,,AM,AM | Akhali Memarjveneebi | New Rights | New Rights Party of Georgia | ახალი მემარჯვენეები,2003,1.41,4.0,0.412,0.38
2168,GEO,Union for the Democratic Revival,,DAP,AGUR | All Georgian Union of Revival | DAP | Democratic Union for Revival | Demokratiuli Aghordzinebis Pavshiri | Union for the Democratic Revival | დემოკრატიული აღორძინების კავშირი,2003,-0.216,3.0,0.938,0.4
2169,GEO,Union of Georgian Traditionalists,,KTK,KTK | Kartvel Traditsionalista Kavshiri | Union of Georgian Traditionalists,1992,1.019,4.0,0.519,0.403
2172,GEO,United National Movement,,ENM,ENM | Ertiani Natsionaluri Modzraoba | Ertiani Nazionaluri Modsraoba | NA | Natshhionakhuri Modraoba– Demokrathebi | UNM | United National Movement | ერთიანი ნაციონალური მოძრაობა,2016,1.044,4.0,0.343,0.77
2173,GEO,Unity Bloc,,BE,BE | Blok ‘Ertoba’ | UB | Unity Bloc | ‘Unity' Bloc,1992,-0.06,3.0,0.614,0.389
