component,eigenvalue,variance_explained,cumulative_variance
PC1,3.7070034652024955,0.9066041083375665,0.9066041083375665
PC2,0.3432881067003693,0.08395633044302507,0.9905604387805916
PC3,0.027275605896728578,0.006670664485612965,0.9972311032662046
PC4,0.011321711089296414,0.0027688967337953178,0.9999999999999999
